file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
ESSENCEm026-NUV.fits.gz,ESSENCEm026,NUV,352.1665416666667,-9.330555555555557,18,2004-09-03,2010-09-25,2005-09-26,2,16,-387.0,1826.0,1.0
ESSENCEm027-FUV.fits.gz,ESSENCEm027,FUV,17.31254166666667,0.1374444444444445,3,2003-10-06,2007-10-22,2005-09-26,1,2,-720.0,756.0,742.0
ESSENCEm027-NUV.fits.gz,ESSENCEm027,NUV,17.31254166666667,0.1374444444444445,11,2003-10-06,2010-11-09,2005-09-26,1,10,-720.0,1871.0,742.0
ESSENCEm032-FUV.fits.gz,ESSENCEm032,FUV,352.39725,-9.979527777777776,8,2004-09-03,2008-08-26,2005-09-25,2,6,-386.0,1066.0,2.0
ESSENCEm032-NUV.fits.gz,ESSENCEm032,NUV,352.39725,-9.979527777777776,13,2004-09-03,2010-09-25,2005-09-25,2,11,-386.0,1827.0,2.0
ESSENCEm043-FUV.fits.gz,ESSENCEm043,FUV,352.46554166666664,-8.946138888888889,6,2004-09-03,2006-10-16,2005-09-26,2,4,-387.0,386.0,1.0
ESSENCEm043-NUV.fits.gz,ESSENCEm043,NUV,352.46554166666664,-8.946138888888889,10,2004-09-03,2010-09-25,2005-09-26,2,8,-387.0,1826.0,1.0
ESSENCEm062-FUV.fits.gz,ESSENCEm062,FUV,17.470425,0.6052861111111111,5,2003-10-06,2008-09-30,2005-09-25,1,4,-719.0,1102.0,729.0
ESSENCEm062-NUV.fits.gz,ESSENCEm062,NUV,17.470425,0.6052861111111111,9,2003-10-06,2010-09-28,2005-09-25,1,8,-719.0,1830.0,729.0
ESSENCEm070-FUV.fits.gz,ESSENCEm070,FUV,38.4450875,-8.140802222222222,7,2004-10-21,2008-10-23,2005-09-28,3,4,-342.0,1122.0,38.0
ESSENCEm070-NUV.fits.gz,ESSENCEm070,NUV,38.4450875,-8.140802222222222,12,2004-10-21,2010-12-10,2005-09-28,3,9,-342.0,1900.0,38.0
ESSENCEm075-FUV.fits.gz,ESSENCEm075,FUV,351.1762083333333,-8.48575,4,2003-10-18,2008-08-25,2005-09-26,1,3,-709.0,1064.0,360.0
ESSENCEm075-NUV.fits.gz,ESSENCEm075,NUV,351.1762083333333,-8.48575,12,2003-10-18,2011-10-14,2005-09-26,1,11,-709.0,2210.0,360.0
ESSENCEm087-FUV.fits.gz,ESSENCEm087,FUV,38.40418333333334,-8.459017222222222,4,2004-10-21,2005-11-05,2004-12-15,3,1,-55.0,325.0,325.0
ESSENCEm087-NUV.fits.gz,ESSENCEm087,NUV,38.40418333333334,-8.459017222222222,9,2004-10-21,2010-12-10,2004-12-15,3,6,-55.0,2187.0,325.0
ESSENCEm138-FUV.fits.gz,ESSENCEm138,FUV,17.23479166666667,0.6570555555555556,4,2003-10-06,2008-09-30,2005-10-06,2,2,-730.0,1091.0,718.0
ESSENCEm138-NUV.fits.gz,ESSENCEm138,NUV,17.23479166666667,0.6570555555555556,8,2003-10-06,2010-09-28,2005-10-06,2,6,-730.0,1819.0,718.0
ESSENCEm158-FUV.fits.gz,ESSENCEm158,FUV,351.01470833333326,-9.388388888888887,6,2003-08-24,2008-09-07,2005-10-06,1,5,-774.0,1067.0,375.0
ESSENCEm158-NUV.fits.gz,ESSENCEm158,NUV,351.01470833333326,-9.388388888888887,11,2003-08-24,2011-10-14,2005-10-06,1,10,-774.0,2200.0,375.0
ESSENCEm226-NUV.fits.gz,ESSENCEm226,NUV,31.515375,-4.666416666666667,39,2003-11-21,2010-11-16,2005-09-26,1,38,-674.0,1877.0,1478.0
ESSENCEn246-FUV.fits.gz,ESSENCEn246,FUV,18.63783333333333,-0.4397777777777778,5,2003-10-06,2008-10-04,2005-11-22,1,4,-777.0,1048.0,680.0
ESSENCEn246-NUV.fits.gz,ESSENCEn246,NUV,18.63783333333333,-0.4397777777777778,9,2003-10-06,2010-09-28,2005-11-22,1,8,-777.0,1772.0,680.0
ESSENCEn258-NUV.fits.gz,ESSENCEn258,NUV,31.67645833333333,-4.376944444444444,43,2003-11-21,2010-12-10,2005-11-22,1,42,-731.0,1845.0,1421.0
ESSENCEn263-NUV.fits.gz,ESSENCEn263,NUV,31.31229166666667,-4.9441944444444434,40,2004-10-07,2010-11-16,2005-11-22,2,38,-410.0,1820.0,1421.0
ESSENCEn278-FUV.fits.gz,ESSENCEn278,FUV,352.073125,-9.386777777777775,8,2004-09-03,2006-10-16,2005-11-24,4,4,-446.0,327.0,296.0
ESSENCEn278-NUV.fits.gz,ESSENCEn278,NUV,352.073125,-9.386777777777775,14,2004-09-03,2010-09-25,2005-11-24,4,10,-446.0,1767.0,296.0
ESSENCEn285-FUV.fits.gz,ESSENCEn285,FUV,350.96395833333327,-8.388472222222221,4,2003-10-18,2008-08-25,2005-11-08,1,3,-752.0,1021.0,317.0
ESSENCEn285-NUV.fits.gz,ESSENCEn285,NUV,350.96395833333327,-8.388472222222221,12,2003-10-18,2011-10-14,2005-11-08,1,11,-752.0,2167.0,317.0
ESSENCEn322-FUV.fits.gz,ESSENCEn322,FUV,37.251999999999995,-9.048055555555557,7,2004-10-21,2008-10-11,2005-11-22,4,3,-396.0,1054.0,696.0
ESSENCEn322-NUV.fits.gz,ESSENCEn322,NUV,37.251999999999995,-9.048055555555557,13,2004-10-21,2010-12-01,2005-11-22,4,9,-396.0,1836.0,696.0
ESSENCEn326-FUV.fits.gz,ESSENCEn326,FUV,352.494125,-8.886805555555554,6,2004-09-03,2006-10-16,2005-11-24,3,3,-446.0,327.0,291.0
ESSENCEn326-NUV.fits.gz,ESSENCEn326,NUV,352.494125,-8.886805555555554,10,2004-09-03,2010-09-25,2005-11-24,3,7,-446.0,1767.0,291.0
ESSENCEn400-FUV.fits.gz,ESSENCEn400,FUV,18.30525,-0.3905277777777778,6,2003-10-06,2008-10-04,2005-11-26,1,5,-781.0,1044.0,676.0
ESSENCEn400-NUV.fits.gz,ESSENCEn400,NUV,18.30525,-0.3905277777777778,10,2003-10-06,2010-09-28,2005-11-26,1,9,-781.0,1768.0,676.0
ESSENCEp425-FUV.fits.gz,ESSENCEp425,FUV,352.484125,-8.573416666666667,8,2003-10-18,2007-09-18,2005-11-24,4,4,-768.0,664.0,291.0
ESSENCEp425-NUV.fits.gz,ESSENCEp425,NUV,352.484125,-8.573416666666667,12,2003-10-18,2010-09-25,2005-11-24,4,8,-768.0,1767.0,291.0
ESSENCEp429-FUV.fits.gz,ESSENCEp429,FUV,351.50923333333327,-8.596660555555555,7,2004-09-03,2008-08-25,2005-11-24,3,4,-446.0,1005.0,296.0
ESSENCEp429-NUV.fits.gz,ESSENCEp429,NUV,351.50923333333327,-8.596660555555555,13,2004-09-03,2010-09-25,2005-11-24,3,10,-446.0,1767.0,296.0
ESSENCEp434-FUV.fits.gz,ESSENCEp434,FUV,18.167708333333326,0.2490555555555556,3,2003-10-06,2007-10-22,2005-11-24,1,2,-779.0,697.0,683.0
ESSENCEp434-NUV.fits.gz,ESSENCEp434,NUV,18.167708333333326,0.2490555555555556,12,2003-10-06,2011-09-23,2005-11-24,1,11,-779.0,2129.0,683.0
ESSENCEp444-FUV.fits.gz,ESSENCEp444,FUV,31.6506875,-3.6926705555555563,3,2003-11-21,2007-11-01,2005-11-24,1,2,-733.0,708.0,360.0
ESSENCEp444-NUV.fits.gz,ESSENCEp444,NUV,31.6506875,-3.6926705555555563,12,2003-11-21,2010-12-10,2005-11-24,1,11,-733.0,1843.0,360.0
ESSENCEp445-FUV.fits.gz,ESSENCEp445,FUV,18.3106125,0.8132386111111112,9,2004-09-26,2008-10-28,2005-11-24,1,8,-424.0,1069.0,342.0
ESSENCEp445-NUV.fits.gz,ESSENCEp445,NUV,18.3106125,0.8132386111111112,19,2004-09-26,2011-09-23,2005-11-24,1,18,-424.0,2129.0,342.0
ESSENCEp454-FUV.fits.gz,ESSENCEp454,FUV,32.13520833333333,-3.5595,3,2003-11-21,2007-11-01,2005-11-24,1,2,-733.0,708.0,360.0
ESSENCEp454-NUV.fits.gz,ESSENCEp454,NUV,32.13520833333333,-3.5595,10,2003-11-21,2010-12-07,2005-11-24,1,9,-733.0,1840.0,360.0
ESSENCEp520-FUV.fits.gz,ESSENCEp520,FUV,32.03891666666667,-3.801388888888889,3,2003-11-21,2007-11-01,2005-12-24,1,2,-763.0,678.0,330.0
ESSENCEp520-NUV.fits.gz,ESSENCEp520,NUV,32.03891666666667,-3.801388888888889,18,2003-11-21,2010-12-10,2005-12-24,1,17,-763.0,1813.0,330.0
ESSENCEp527-FUV.fits.gz,ESSENCEp527,FUV,32.043625,-3.53825,3,2003-11-21,2007-11-01,2005-12-27,1,2,-766.0,675.0,327.0
ESSENCEp527-NUV.fits.gz,ESSENCEp527,NUV,32.043625,-3.53825,10,2003-11-21,2010-12-07,2005-12-27,1,9,-766.0,1807.0,327.0
ESSENCEp528-FUV.fits.gz,ESSENCEp528,FUV,31.769416666666668,-3.467888888888889,3,2003-11-21,2007-11-01,2005-11-30,1,2,-739.0,702.0,354.0
ESSENCEp528-NUV.fits.gz,ESSENCEp528,NUV,31.769416666666668,-3.467888888888889,12,2003-11-21,2010-12-10,2005-11-30,1,11,-739.0,1837.0,354.0
ESSENCEp534-FUV.fits.gz,ESSENCEp534,FUV,31.23370833333333,-3.8176944444444434,3,2003-11-21,2007-11-01,2005-12-24,1,2,-763.0,678.0,330.0
ESSENCEp534-NUV.fits.gz,ESSENCEp534,NUV,31.23370833333333,-3.8176944444444434,12,2003-11-21,2010-12-10,2005-12-24,1,11,-763.0,1813.0,330.0
ESSENCEq002-FUV.fits.gz,ESSENCEq002,FUV,31.3039375,-3.6502008333333333,3,2003-11-21,2007-11-01,2006-09-16,1,2,-1029.0,412.0,64.0
ESSENCEq002-NUV.fits.gz,ESSENCEq002,NUV,31.3039375,-3.6502008333333333,12,2003-11-21,2010-12-10,2006-09-16,1,11,-1029.0,1547.0,64.0
ESSENCEq006-FUV.fits.gz,ESSENCEq006,FUV,32.71781666666666,-3.9609372222222214,3,2003-11-21,2007-11-01,2006-09-16,1,2,-1029.0,412.0,64.0
ESSENCEq006-NUV.fits.gz,ESSENCEq006,NUV,32.71781666666666,-3.9609372222222214,13,2003-11-21,2010-12-07,2006-09-16,1,12,-1029.0,1544.0,64.0
ESSENCEq021-FUV.fits.gz,ESSENCEq021,FUV,38.432995833333344,-8.097236111111112,6,2004-10-21,2008-10-23,2006-09-16,3,3,-695.0,769.0,398.0
ESSENCEq021-NUV.fits.gz,ESSENCEq021,NUV,38.432995833333344,-8.097236111111112,11,2004-10-21,2010-12-10,2006-09-16,3,8,-695.0,1547.0,398.0
ESSENCEq022-FUV.fits.gz,ESSENCEq022,FUV,18.0161,-0.024707,5,2003-10-06,2008-09-22,2006-09-11,1,4,-1070.0,743.0,387.0
ESSENCEq022-NUV.fits.gz,ESSENCEq022,NUV,18.0161,-0.024707,14,2003-10-06,2011-09-23,2006-09-11,1,13,-1070.0,1838.0,387.0
ESSENCEr185-FUV.fits.gz,ESSENCEr185,FUV,17.951020833333327,-0.4970722222222222,4,2003-10-06,2008-09-22,2006-10-31,1,3,-1120.0,693.0,337.0
ESSENCEr185-NUV.fits.gz,ESSENCEr185,NUV,17.951020833333327,-0.4970722222222222,8,2003-10-06,2010-09-28,2006-10-31,1,7,-1120.0,1429.0,337.0
ESSENCEr317-FUV.fits.gz,ESSENCEr317,FUV,18.352741666666674,0.8577102777777778,9,2004-09-26,2008-10-28,2006-11-14,2,7,-779.0,714.0,312.0
ESSENCEr317-NUV.fits.gz,ESSENCEr317,NUV,18.352741666666674,0.8577102777777778,19,2004-09-26,2011-09-23,2006-11-14,2,17,-779.0,1774.0,312.0
ESSENCEs354-NUV.fits.gz,ESSENCEs354,NUV,31.543675,-5.089722222222221,65,2004-10-07,2010-11-16,2006-11-26,2,63,-779.0,1451.0,1052.0
ESSENCEs372-FUV.fits.gz,ESSENCEs372,FUV,32.10107083333333,-3.4590655555555565,3,2003-11-21,2007-11-01,2006-12-13,2,1,-1117.0,324.0,324.0
ESSENCEs372-NUV.fits.gz,ESSENCEs372,NUV,32.10107083333333,-3.4590655555555565,10,2003-11-21,2010-12-07,2006-12-13,2,8,-1117.0,1456.0,324.0
ESSENCEx039-FUV.fits.gz,ESSENCEx039,FUV,37.3252625,-7.650398055555557,2,2006-11-19,2008-10-11,2007-09-17,1,1,-301.0,391.0,391.0
ESSENCEx039-NUV.fits.gz,ESSENCEx039,NUV,37.3252625,-7.650398055555557,13,2006-11-19,2010-12-11,2007-09-17,1,12,-301.0,1181.0,391.0
ESSENCEx093-FUV.fits.gz,ESSENCEx093,FUV,37.429725,-9.115258611111113,7,2004-10-21,2008-10-11,2007-10-08,4,3,-1081.0,369.0,11.0
ESSENCEx093-NUV.fits.gz,ESSENCEx093,NUV,37.429725,-9.115258611111113,14,2004-10-21,2010-12-01,2007-10-08,4,10,-1081.0,1151.0,11.0
Frida-FUV.fits.gz,Frida,FUV,35.425275,-3.364755555555555,25,2004-11-14,2008-11-21,2005-08-07,2,23,-265.0,1202.0,68.0
Frida-NUV.fits.gz,Frida,NUV,35.425275,-3.364755555555555,51,2004-11-14,2010-11-12,2005-08-07,2,49,-265.0,1923.0,68.0
Gabi-FUV.fits.gz,Gabi,FUV,189.057625,62.2021,82,2004-01-25,2008-05-20,2005-04-14,44,38,-444.0,1132.0,315.0
Gabi-NUV.fits.gz,Gabi,NUV,189.057625,62.2021,131,2004-01-25,2011-03-09,2005-04-14,77,54,-444.0,2156.0,3.0
Hawk-FUV.fits.gz,Hawk,FUV,188.9215,62.19366388888889,81,2004-03-14,2008-05-20,2004-11-05,43,38,-236.0,1292.0,475.0
Hawk-NUV.fits.gz,Hawk,NUV,188.9215,62.19366388888889,130,2004-01-28,2011-03-09,2004-11-05,76,54,-282.0,2316.0,163.0
HST04Gre-FUV.fits.gz,HST04Gre,FUV,53.08954166666667,-27.78286111111111,104,2003-11-09,2008-12-20,2004-09-16,39,65,-311.0,1556.0,401.0
HST04Gre-NUV.fits.gz,HST04Gre,NUV,53.08954166666667,-27.78286111111111,221,2003-11-09,2010-12-08,2004-09-16,39,182,-311.0,2274.0,401.0
HST04Man-FUV.fits.gz,HST04Man,FUV,189.14522083333333,62.26357222222222,81,2004-03-14,2008-05-20,2004-05-20,43,38,-67.0,1461.0,644.0
HST04Man-NUV.fits.gz,HST04Man,NUV,189.14522083333333,62.26357222222222,130,2004-01-28,2011-03-09,2004-05-20,76,54,-113.0,2485.0,332.0
HST04Sas-FUV.fits.gz,HST04Sas,FUV,189.22552083333332,62.13950277777778,82,2004-01-25,2008-05-20,2004-05-23,44,38,-118.0,1458.0,641.0
HST04Sas-NUV.fits.gz,HST04Sas,NUV,189.22552083333332,62.13950277777778,131,2004-01-25,2011-03-09,2004-05-23,77,54,-118.0,2482.0,329.0
HST05Dic-FUV.fits.gz,HST05Dic,FUV,188.95670833333332,62.169988888888895,81,2004-03-14,2008-05-20,2005-04-12,43,38,-394.0,1134.0,317.0
HST05Dic-NUV.fits.gz,HST05Dic,NUV,188.95670833333332,62.169988888888895,130,2004-01-28,2011-03-09,2005-04-12,76,54,-440.0,2158.0,5.0
HST05Fer-FUV.fits.gz,HST05Fer,FUV,189.10458333333332,62.25662222222223,81,2004-03-14,2008-05-20,2005-04-12,43,38,-394.0,1134.0,317.0
HST05Fer-NUV.fits.gz,HST05Fer,NUV,189.10458333333332,62.25662222222223,130,2004-01-28,2011-03-09,2005-04-12,76,54,-440.0,2158.0,5.0
HST05Koe-FUV.fits.gz,HST05Koe,FUV,189.0955,62.30644444444444,81,2004-03-14,2008-05-20,2005-04-12,43,38,-394.0,1134.0,317.0
HST05Koe-NUV.fits.gz,HST05Koe,NUV,189.0955,62.30644444444444,130,2004-01-28,2011-03-09,2005-04-12,76,54,-440.0,2158.0,5.0
HST05Lan-FUV.fits.gz,HST05Lan,FUV,189.23633333333333,62.21481388888889,82,2004-01-25,2008-05-20,2005-02-25,44,38,-396.0,1180.0,363.0
HST05Lan-NUV.fits.gz,HST05Lan,NUV,189.23633333333333,62.21481388888889,131,2004-01-25,2011-03-09,2005-02-25,77,54,-396.0,2204.0,51.0
Jennie-FUV.fits.gz,Jennie,FUV,35.75034166666666,-4.600844444444443,31,2004-11-14,2008-11-21,2006-08-18,12,19,-641.0,826.0,64.0
Jennie-NUV.fits.gz,Jennie,NUV,35.75034166666666,-4.600844444444443,54,2004-11-14,2010-11-12,2006-08-18,12,42,-641.0,1548.0,64.0
Kurage-FUV.fits.gz,Kurage,FUV,53.150125,-27.854905555555558,104,2003-11-09,2008-12-20,2004-12-15,39,65,-401.0,1466.0,311.0
Kurage-NUV.fits.gz,Kurage,NUV,53.150125,-27.854905555555558,222,2003-11-09,2010-12-08,2004-12-15,39,183,-401.0,2184.0,311.0
Maggie-FUV.fits.gz,Maggie,FUV,35.44368333333333,-3.3822722222222215,25,2004-11-14,2008-11-21,2005-10-10,2,23,-329.0,1138.0,4.0
Maggie-NUV.fits.gz,Maggie,NUV,35.44368333333333,-3.3822722222222215,51,2004-11-14,2010-11-12,2005-10-10,2,49,-329.0,1859.0,4.0
McGuire-FUV.fits.gz,McGuire,FUV,53.04175,-27.83055,104,2003-11-09,2008-12-20,2004-09-16,39,65,-311.0,1556.0,401.0
McGuire-NUV.fits.gz,McGuire,NUV,53.04175,-27.83055,221,2003-11-09,2010-12-08,2004-09-16,39,182,-311.0,2274.0,401.0
Naima-FUV.fits.gz,Naima,FUV,35.2404125,-3.556658333333333,23,2004-11-14,2008-11-21,2006-08-18,6,17,-641.0,826.0,57.0
Naima-NUV.fits.gz,Naima,NUV,35.2404125,-3.556658333333333,72,2004-11-14,2010-11-12,2006-08-18,6,66,-641.0,1547.0,57.0
Ombo-FUV.fits.gz,Ombo,FUV,53.10558333333334,-27.750836111111113,104,2003-11-09,2008-12-20,2004-12-16,39,65,-402.0,1465.0,310.0
Ombo-NUV.fits.gz,Ombo,NUV,53.10558333333334,-27.750836111111113,221,2003-11-09,2010-12-08,2004-12-16,39,182,-402.0,2183.0,310.0
Patuxent-FUV.fits.gz,Patuxent,FUV,189.5373375,62.313163888888894,81,2004-03-14,2008-05-20,2004-07-09,43,38,-117.0,1411.0,594.0
Patuxent-NUV.fits.gz,Patuxent,NUV,189.5373375,62.313163888888894,130,2004-01-28,2011-03-09,2004-07-09,76,54,-163.0,2435.0,282.0
PS0909010-NUV.fits.gz,PS0909010,NUV,37.1182,-4.078911111111111,26,2006-11-19,2010-11-12,2009-09-12,2,24,-1028.0,427.0,45.0
PS1-1000003-NUV.fits.gz,PS1-1000003,NUV,129.3289083333333,44.33373333333333,8,2004-01-16,2010-01-14,2010-01-11,7,1,-2187.0,4.0,4.0
PS1-1000004-NUV.fits.gz,PS1-1000004,NUV,53.36645,-28.371522222222218,142,2003-11-09,2010-12-08,2010-01-11,131,11,-2254.0,332.0,314.0
PS1-1000005-NUV.fits.gz,PS1-1000005,NUV,149.74899166666668,3.1575305555555553,42,2006-02-03,2011-02-16,2010-01-12,22,20,-1438.0,400.0,24.0
PS1-1000007-NUV.fits.gz,PS1-1000007,NUV,35.8779625,-4.636322222222222,147,2003-12-09,2010-11-12,2010-01-10,136,11,-2223.0,307.0,289.0
PS1-1000008-NUV.fits.gz,PS1-1000008,NUV,36.0664375,-3.1865361111111112,54,2006-11-13,2010-11-12,2010-01-10,35,19,-1154.0,306.0,288.0
PS1-1000009-NUV.fits.gz,PS1-1000009,NUV,35.0956625,-4.672508333333334,65,2004-10-24,2010-11-12,2010-01-10,55,10,-1904.0,307.0,289.0
PS1-1000790-NUV.fits.gz,PS1-1000790,NUV,323.3690541666667,10.34431666666667,7,2008-07-18,2010-09-25,2010-08-01,5,2,-743.0,56.0,54.0
PS1-10acx-NUV.fits.gz,PS1-10acx,NUV,241.47537083333333,55.19786111111111,63,2004-07-06,2011-06-10,2010-08-16,55,8,-2232.0,299.0,249.0
PS1-10bls-NUV.fits.gz,PS1-10bls,NUV,53.06715,-27.19430833333333,93,2003-11-09,2010-12-08,2010-11-07,83,10,-2554.0,32.0,14.0
PS1-10byr-NUV.fits.gz,PS1-10byr,NUV,334.46167083333336,1.042722222222222,127,2003-08-31,2011-10-12,2010-12-06,126,1,-2653.0,310.0,310.0
PS1-10byw-NUV.fits.gz,PS1-10byw,NUV,333.86695833333334,1.5494861111111107,47,2004-08-07,2011-08-12,2010-11-30,46,1,-2306.0,255.0,255.0
PS1-10f-NUV.fits.gz,PS1-10f,NUV,149.97592083333333,2.4119,240,2004-02-10,2011-03-09,2010-01-12,219,21,-2163.0,421.0,24.0
PS1-10ia-NUV.fits.gz,PS1-10ia,NUV,212.87940833333332,53.57957777777778,18,2009-05-04,2011-03-14,2010-03-20,10,8,-319.0,360.0,2.0
PS1-10if-NUV.fits.gz,PS1-10if,NUV,150.08831666666669,1.418125,45,2004-02-14,2011-02-16,2010-03-20,34,11,-2225.0,333.0,2.0
PS1-10im-NUV.fits.gz,PS1-10im,NUV,162.52450416666667,58.77741944444444,62,2004-01-23,2011-03-08,2010-04-02,60,2,-2261.0,341.0,341.0
PS1-10io-NUV.fits.gz,PS1-10io,NUV,150.18339583333332,3.403975,43,2006-02-03,2011-02-16,2010-04-12,34,9,-1528.0,311.0,294.0
PS1-10j-NUV.fits.gz,PS1-10j,NUV,162.30925,58.46723333333333,51,2004-01-23,2011-03-08,2010-01-16,48,3,-2185.0,417.0,5.0
PS1-10k-NUV.fits.gz,PS1-10k,NUV,150.11506666666668,2.694033333333334,199,2004-02-10,2011-02-16,2010-01-16,162,37,-2167.0,397.0,19.0
PS1-10ka-NUV.fits.gz,PS1-10ka,NUV,242.79295833333333,55.12230555555556,49,2003-06-30,2011-06-10,2010-05-16,40,9,-2511.0,390.0,32.0
PS1-10m-NUV.fits.gz,PS1-10m,NUV,150.5391375,1.8991694444444442,98,2004-02-10,2011-03-21,2010-01-16,81,17,-2166.0,429.0,22.0
PS1-10n-NUV.fits.gz,PS1-10n,NUV,150.8099375,3.144225,42,2006-02-27,2012-01-25,2010-01-16,20,22,-1418.0,739.0,19.0
PS1-10o-NUV.fits.gz,PS1-10o,NUV,150.53675833333332,2.718563888888889,100,2004-02-10,2011-02-16,2010-01-18,80,20,-2168.0,395.0,17.0
PS1-10p-NUV.fits.gz,PS1-10p,NUV,149.82000833333333,1.6134861111111107,100,2004-02-10,2011-03-09,2010-01-20,77,23,-2170.0,413.0,16.0
